Logging to training_random_logs/5_robots/logs/PPO_set1
Using cpu device
Training started on Tue Jan 27 16:19:06 2026
Experiment configuration: {'algorithm': 'PPO', 'set': 1, 'verbose': 1, 'steps': 1000000, 'num_robots': 5, 'num_envs': 4, 'seed': 33, 'log_steps': 10000, 'resume': False, 'device': 'cpu'}
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 34.2       |
|    ep_rew_mean          | -5.62e+05  |
| time/                   |            |
|    fps                  | 812        |
|    time_elapsed         | 12         |
|    total_timesteps      | 10000      |
| train/                  |            |
|    approx_kl            | 0.00585118 |
|    clip_fraction        | 0.0267     |
|    clip_range           | 0.2        |
|    entropy_loss         | -21.3      |
|    explained_variance   | -3.58e-07  |
|    learning_rate        | 0.0017     |
|    loss                 | 1.48e+10   |
|    n_updates            | 10         |
|    policy_gradient_loss | -0.00651   |
|    std                  | 1          |
|    value_loss           | 2.92e+10   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 30.5        |
|    ep_rew_mean          | -5.02e+05   |
| time/                   |             |
|    fps                  | 815         |
|    time_elapsed         | 24          |
|    total_timesteps      | 20000       |
| train/                  |             |
|    approx_kl            | 0.005364745 |
|    clip_fraction        | 0.0189      |
|    clip_range           | 0.2         |
|    entropy_loss         | -21.4       |
|    explained_variance   | -1.19e-07   |
|    learning_rate        | 0.0017      |
|    loss                 | 1.32e+10    |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.00526    |
|    std                  | 1.01        |
|    value_loss           | 2.7e+10     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 28.5         |
|    ep_rew_mean          | -4.71e+05    |
| time/                   |              |
|    fps                  | 817          |
|    time_elapsed         | 36           |
|    total_timesteps      | 30000        |
| train/                  |              |
|    approx_kl            | 0.0056062615 |
|    clip_fraction        | 0.0247       |
|    clip_range           | 0.2          |
|    entropy_loss         | -21.4        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0017       |
|    loss                 | 1.25e+10     |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.00667     |
|    std                  | 1.01         |
|    value_loss           | 2.6e+10      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 32.3         |
|    ep_rew_mean          | -5.3e+05     |
| time/                   |              |
|    fps                  | 818          |
|    time_elapsed         | 48           |
|    total_timesteps      | 40000        |
| train/                  |              |
|    approx_kl            | 0.0048301965 |
|    clip_fraction        | 0.0151       |
|    clip_range           | 0.2          |
|    entropy_loss         | -21.5        |
|    explained_variance   | -2.38e-07    |
|    learning_rate        | 0.0017       |
|    loss                 | 1.19e+10     |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.00488     |
|    std                  | 1.01         |
|    value_loss           | 2.61e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 28.1         |
|    ep_rew_mean          | -4.62e+05    |
| time/                   |              |
|    fps                  | 783          |
|    time_elapsed         | 63           |
|    total_timesteps      | 50000        |
| train/                  |              |
|    approx_kl            | 0.0022275327 |
|    clip_fraction        | 0.00083      |
|    clip_range           | 0.2          |
|    entropy_loss         | -21.6        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0017       |
|    loss                 | 1.09e+10     |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.00263     |
|    std                  | 1.02         |
|    value_loss           | 2.49e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 30.5         |
|    ep_rew_mean          | -5.01e+05    |
| time/                   |              |
|    fps                  | 816          |
|    time_elapsed         | 73           |
|    total_timesteps      | 60000        |
| train/                  |              |
